CH1,CH10
112.396,0.0869751
112.854,0.0865173
113.373,0.0854492
113.739,0.0827026
114.014,0.0759888
114.38,0.0689697
114.655,0.0616455
114.868,0.0556946
115.021,0.0489807
115.112,0.0421143
115.326,0.0370789
115.723,0.0320435
116.18,0.0273132
116.608,0.0247192
116.974,0.0196838
117.279,0.0135803
117.554,0.00762939
117.767,0.00152588
117.981,-0.00457764
118.072,-0.0119019
118.195,-0.0183105
118.744,-0.0239563
119.141,-0.0286865
119.568,-0.0314331
119.995,-0.0340271
120.3,-0.0364685
120.514,-0.0396729
120.728,-0.0439453
120.911,-0.0485229
121.063,-0.0534058
121.124,-0.0585938
121.246,-0.0634766
121.277,-0.068512
121.338,-0.075531
121.399,-0.0819397
121.429,-0.0894165
121.429,-0.09552
121.429,-0.102386
121.399,-0.107422
121.368,-0.112305
121.46,-0.117188
121.643,-0.118256
121.918,-0.117798
122.04,-0.115662
122.253,-0.113068
122.406,-0.111542
122.559,-0.110779
122.589,-0.110779
122.681,-0.111084
122.772,-0.112915
122.864,-0.115509
123.138,-0.119476
123.383,-0.124664
123.657,-0.129547
123.962,-0.134125
124.115,-0.139008
124.359,-0.144043
124.451,-0.1474
124.481,-0.149841
124.603,-0.151367
124.695,-0.152283
124.817,-0.154114
124.847,-0.155029
125,-0.157318
125.061,-0.159454
125.183,-0.162048
125.153,-0.162048
125.183,-0.159912
125.275,-0.155945
125.275,-0.151062
125.275,-0.145569
125.458,-0.141144
125.519,-0.136566
125.58,-0.131531
125.702,-0.126495
125.732,-0.121307
125.763,-0.115204
125.763,-0.109253
125.824,-0.104218
125.854,-0.0993347
125.854,-0.0921631
126.068,-0.0857544
126.282,-0.0782776
126.495,-0.0701904
126.709,-0.065155
126.892,-0.058136
126.984,-0.0531006
127.045,-0.050354
127.197,-0.045929
127.197,-0.0430298
127.258,-0.0396729
127.38,-0.0376892
127.472,-0.0375366
127.563,-0.0378418
127.624,-0.0387573
127.655,-0.0413513
127.716,-0.0436401
127.808,-0.045929
127.838,-0.0485229
127.838,-0.0511169
127.838,-0.0537109
127.838,-0.0582886
127.777,-0.0616455
127.624,-0.065918
127.594,-0.0730896
127.563,-0.0782776
127.533,-0.0827026
127.472,-0.085907
127.472,-0.0883484
127.441,-0.0889587
127.502,-0.0889587
127.411,-0.0846863
127.289,-0.0798035
127.228,-0.0752258
127.136,-0.0700378
127.045,-0.065155
127.045,-0.0582886
127.045,-0.0531006
126.984,-0.045929
127.014,-0.0405884
126.984,-0.0358582
126.953,-0.0309753
127.075,-0.0288391
127.136,-0.027771
127.167,-0.027771
127.258,-0.0276184
127.258,-0.027771
127.319,-0.0292969
127.289,-0.0300598
127.38,-0.0302124
127.35,-0.0300598
127.35,-0.0302124
127.319,-0.0300598
127.228,-0.0302124
127.106,-0.0300598
