597,39.038787
1210,30.144613
1914,30.531025
2622,43.122444
3288,38.834888
3969,36.441630
4691,39.484764
5487,37.584919
6256,40.221215
6997,37.201481
7700,39.127796
8438,37.928358
9200,41.890529
9915,37.697167
10617,33.206789
11349,37.716756
12079,41.542664
12784,36.497824
13463,34.902375
14147,38.930285
14861,37.488716
15586,38.958064
16282,38.290141
16993,40.116054
17708,42.746989
18474,38.966975
19230,42.720130
19979,30.448175
20704,34.588055
21374,41.251186
22063,46.954818
22731,43.585615
23366,36.270546
24033,35.079121
24739,34.826527
25463,34.308600
26203,38.327402
26896,36.614356
27544,30.266560
28258,36.527954
29040,41.474941
29873,35.905524
30738,42.037599
31540,33.911011
32380,29.189667
33179,34.909359
33936,32.861522
34766,33.539684
35574,37.213107
36346,38.468535
37081,37.382767
37824,41.521959
38607,42.775596
39417,41.914857
40261,42.233982
41082,42.382978
41920,42.770007
42760,40.595097
43620,39.803941
44472,38.605748
45337,38.609939
46181,40.066019
46964,40.294196
47750,37.356006
48542,38.580189
49376,44.368330
50204,43.573746
51056,44.551103
51886,43.194718
52730,40.180062
53544,39.706691
54363,43.635668
55165,42.921052
55944,45.602816
56702,41.278139
57374,41.969422
58004,33.798667
58701,22.359972
59392,28.110181
59983,32.911537
